Facet,Category,Definition,Score_1,Score_5,Few_Shot_Example
Risktaking,Pragmatics,The willingness to take bold actions despite potential negative consequences in a conversation.,Very low presence of bold or daring statements,Extremely high presence of bold or daring statements,"I'm going to invest everything in this new venture, it's going to be huge!"
Naivety,Linguistic,The quality of being overly trusting or innocent in one's words and tone.,Very low presence of trusting or innocent language,Extremely high presence of trusting or innocent language,"I just know that everyone will do the right thing, we don't need any rules or contracts."
Acidity,Emotion,"The presence of sharp, biting, or sarcastic language in a conversation.",Very low presence of sharp or biting language,Extremely high presence of sharp or biting language,"Oh great, just what I needed, another one of your brilliant ideas that's going to tank the whole project."
Democratic Leadership,Pragmatics,"The ability to lead and make decisions in a fair, collaborative, and inclusive manner in a conversation.",Very low presence of collaborative or inclusive decision-making language,Extremely high presence of collaborative or inclusive decision-making language,"Let's put it to a vote, everyone should have a say in what we do next."
Common-sense,Linguistic,"The use of practical, sensible, and straightforward language in a conversation.",Very low presence of practical or sensible language,Extremely high presence of practical or sensible language,"We should just take a step back, look at the facts, and make a decision based on what's best for everyone."
Hesitation,Linguistic,"The presence of uncertain, tentative, or indecisive language in a conversation.",Very low presence of uncertain or tentative language,Extremely high presence of uncertain or tentative language,"I'm not really sure, maybe, possibly, we could try, um, something?"
Discontentment,Emotion,"The expression of dissatisfaction, unhappiness, or discontent in a conversation.",Very low presence of dissatisfied or unhappy language,Extremely high presence of dissatisfied or unhappy language,"I'm so fed up with this, it's just not working out and I don't know how much more of this I can take."
Overprotectiveness,Safety,The tendency to be excessively cautious or protective of oneself or others in a conversation.,Very low presence of cautious or protective language,Extremely high presence of cautious or protective language,"I don't think we should do that, it's not safe, what if something goes wrong?"
Merriness,Emotion,"The presence of lighthearted, cheerful, or humorous language in a conversation.",Very low presence of lighthearted or cheerful language,Extremely high presence of lighthearted or cheerful language,"Haha, that's hilarious, I'm so glad we're doing this, it's going to be a blast!"
Emotionalism,Emotion,The tendency to express or emphasize emotions in a conversation.,Very low presence of emotional language,Extremely high presence of emotional language,"I'm so passionate about this, it's like my heart is on fire and I just can't contain my excitement!"
Self-improvement,Pragmatics,"The focus on personal growth, learning, and self-awareness in a conversation.",Very low presence of language focused on personal growth,Extremely high presence of language focused on personal growth,"I've been reflecting on my actions and I realize I need to work on my communication skills, can you help me with that?"
Statistical Reasoning,Linguistic,"The use of logical, analytical, and data-driven language in a conversation.",Very low presence of logical or analytical language,Extremely high presence of logical or analytical language,"According to the data, we can see a clear correlation between the variables, and if we apply statistical models, we can predict the outcome with a high degree of accuracy."
Assertiveness and control in relationships,Pragmatics,The ability to express oneself confidently and set boundaries in a conversation.,Very low presence of confident or boundary-setting language,Extremely high presence of confident or boundary-setting language,"I understand what you're saying, but I need to prioritize my own needs in this situation, so I'm going to have to say no to that request."
Cunningness,Pragmatics,"The use of clever, strategic, or manipulative language in a conversation.",Very low presence of clever or strategic language,Extremely high presence of clever or strategic language,"I see what you're trying to do, but I've been in this game a long time, and I know how to navigate these situations to get what I want."
Adventure-Seeking Behavior,Pragmatics,The willingness to take risks and try new things in a conversation.,Very low presence of language indicating a willingness to take risks,Extremely high presence of language indicating a willingness to take risks,"Let's do something crazy and spontaneous, like travel to a new country on a whim, it'll be an adventure!"
Compassion Fatigue,Emotion,A state where an individual exhibits diminished empathy and concern for others due to prolonged exposure to stressful or traumatic situations.,Very low presence of emotional exhaustion from helping others,Extremely high presence of emotional exhaustion from helping others,"I'm so tired of hearing about everyone's problems, I just can't take it anymore."
