facet_id,facet_name,category,definition,context_scope,invert_scale,score_1,score_2,score_3,score_4,score_5,example_low,example_mid,example_high
FACET-001,Risktaking,Pragmatics,The tendency to engage in actions or decisions that involve a high level of uncertainty or potential harm.,single_turn,False,"Avoids risk entirely, even when beneficial.","Takes minimal risks, with careful consideration.","Takes moderate risks, weighing potential outcomes.","Takes significant risks, with some potential for harm.","Engages in reckless behavior, disregarding potential consequences.","I'd rather not try that new restaurant, I've never heard of it.","I'll invest in the stock market, but only with a diversified portfolio.",I'm going to quit my job and start a business without a plan or savings.
FACET-002,Naivety,Linguistic,"The quality of being overly trusting or lacking in worldly experience, often leading to unrealistic expectations or gullibility.",single_turn,True,Displays a healthy dose of skepticism and critical thinking.,"Is somewhat trusting, but also cautious and inquiring.","Tends to believe what they're told, without much questioning.",Is very trusting and often takes things at face value.,Is extremely gullible and lacks any critical thinking.,"I'm not sure that's true, can you provide more evidence?","That sounds good, but I'll have to think about it some more.","Oh, that must be true, I believe everything I read online."
FACET-003,Acidity,Emotion,"The tendency to express negative or critical emotions, such as sarcasm, bitterness, or resentment.",single_turn,True,Consistently expresses positive and uplifting emotions.,"Occasionally expresses negative emotions, but in a constructive way.","Sometimes expresses acidic emotions, but also balances with positivity.","Frequently expresses negative or critical emotions, with some impact on others.","Consistently expresses highly acidic emotions, with significant negative impact on others.","I'm so happy to be here, thanks for inviting me!","I'm a bit frustrated with the situation, but I'm trying to stay calm.","This is the worst day ever, and everything is just terrible."
FACET-004,Democratic Leadership,Pragmatics,"The ability to lead and make decisions in a collaborative and inclusive manner, considering the input and perspectives of others.",multi_turn,False,Tends to dominate conversations and make decisions without input from others.,"Sometimes seeks input from others, but often disregards their perspectives.",Balances their own opinions with the input and perspectives of others.,"Consistently seeks and considers the input of others, and makes collaborative decisions.",Excels at facilitating inclusive and participatory decision-making processes.,"I've decided what we're going to do, let's just do it.",What do you think we should do? But I've already made up my mind.,Let's discuss this as a group and come to a decision that works for everyone.
FACET-005,Common-sense,Linguistic,The ability to make sound judgments and decisions based on practical experience and basic knowledge.,single_turn,False,Often displays a lack of understanding of basic concepts or practical realities.,"Sometimes shows a limited grasp of common sense, but can learn from experience.","Generally demonstrates a reasonable level of common sense, but may make occasional mistakes.",Consistently displays good judgment and a solid understanding of practical realities.,Excels at making sound decisions and demonstrating a high level of common sense.,I think I can fly if I just flap my arms hard enough.,"I'm not sure if this will work, but I'll try it and see what happens.","I think it's a good idea to bring an umbrella, since it's supposed to rain today."
FACET-006,Hesitation,Linguistic,The speaker's tendency to express uncertainty or doubt through their words or tone.,single_turn,False,The speaker is very direct and shows no signs of hesitation.,The speaker is mostly direct but may use a few hesitant phrases.,"The speaker is moderately hesitant, using phrases like 'I think' or 'maybe'.","The speaker is quite hesitant, frequently using phrases like 'I'm not sure' or 'I don't know'.","The speaker is extremely hesitant, consistently expressing uncertainty or doubt.",I know exactly what I want to do.,I think I'll try to figure it out as I go.,"I'm not really sure, maybe we should just wait and see what happens."
FACET-007,Discontentment,Emotion,The speaker's expression of dissatisfaction or unhappiness with their current situation or circumstances.,single_turn,True,The speaker is very satisfied and shows no signs of discontentment.,The speaker is mostly satisfied but may express a minor complaint.,"The speaker is moderately discontent, expressing some frustration or dissatisfaction.","The speaker is quite discontent, frequently expressing unhappiness or dissatisfaction.","The speaker is extremely discontent, consistently expressing strong dissatisfaction or anger.",I'm really happy with how things are going.,"I'm a bit frustrated with the delay, but I'll manage.","I'm so fed up with this situation, it's completely unacceptable."
FACET-008,Overprotectiveness,Safety,The speaker's tendency to excessively caution or restrict others in order to prevent potential harm or risk.,multi_turn,True,"The speaker shows no signs of overprotectiveness, allowing others to make their own decisions.","The speaker is mildly cautious, offering some advice but ultimately respecting others' autonomy.","The speaker is moderately overprotective, frequently offering warnings or restrictions.","The speaker is quite overprotective, consistently trying to control or restrict others' actions.","The speaker is extremely overprotective, obsessively trying to prevent any potential harm or risk.","You can handle it, just be careful.","I'm not sure that's a good idea, maybe you should reconsider.","You can't do that, it's not safe, I won't let you."
FACET-009,Merriness,Emotion,"The speaker's expression of joy, amusement, or lightheartedness in their tone or words.",single_turn,False,"The speaker shows no signs of merriness, maintaining a serious tone.","The speaker is mildly playful, using some lighthearted language or humor.","The speaker is moderately merry, frequently using jokes or witty remarks.","The speaker is quite merry, consistently expressing joy or amusement.","The speaker is extremely merry, overflowing with enthusiasm and playfulness.",I'm just trying to get this done.,"Well, that's a funny way to look at it.","This is the best day ever, I'm so excited!"
FACET-010,Emotionalism,Emotion,"The speaker's tendency to express intense or extreme emotions, such as passion, anger, or excitement.",multi_turn,False,"The speaker is very reserved, showing no signs of emotionalism.","The speaker is mildly expressive, using some emotional language or tone.","The speaker is moderately emotional, frequently expressing strong feelings or opinions.","The speaker is quite emotional, consistently using intense or passionate language.","The speaker is extremely emotional, overflowing with intense feelings or dramatic expressions.",I'm just stating the facts.,"I'm a bit concerned about this, I think we should be careful.","This is an outrage, we need to take immediate action!"
